Trend Age;Trend Temperature;Trend Temperature (long)
0.0;-0.22;-0.42
0.1;-0.20;-0.37
0.2;-0.19;-0.32
0.3;-0.17;-0.27
0.4;-0.17;-0.22
0.5;-0.18;-0.17
0.6;-0.18;-0.11
0.7;-0.16;-0.06
0.8;-0.12;-0.01
0.9;-0.04;0.04
1.0;0.04;0.09
1.1;0.12;0.14
1.2;0.19;0.20
1.3;0.25;0.25
1.4;0.30;0.30
1.5;0.33;0.35
1.6;0.36;0.41
1.7;0.40;0.46
1.8;0.44;0.52
1.9;0.49;0.57
2.0;0.54;0.63
2.1;0.59;0.68
2.2;0.64;0.74
2.3;0.68;0.81
2.4;0.73;0.88
2.5;0.79;0.95
2.6;0.86;1.02
2.7;0.96;1.10
2.8;1.06;1.18
2.9;1.16;1.26
3.0;1.26;1.34
3.1;1.34;1.42
3.2;1.43;1.50
3.3;1.53;1.58
3.4;1.64;1.67
3.5;1.75;1.75
3.6;1.86;1.84
3.7;1.97;1.93
3.8;2.07;2.01
3.9;2.16;2.10
4.0;2.26;2.18
4.1;2.35;2.26
4.2;2.45;2.34
4.3;2.54;2.41
4.4;2.62;2.48
4.5;2.68;2.55
4.6;2.73;2.61
4.7;2.79;2.67
4.8;2.87;2.73
4.9;2.97;2.78
5.0;3.08;2.83
5.1;3.17;2.87
5.2;3.24;2.91
5.3;3.27;2.95
5.4;3.26;2.98
5.5;3.22;3.01
5.6;3.17;3.04
5.7;3.13;3.07
5.8;3.10;3.09
5.9;3.09;3.10
6.0;3.09;3.12
6.1;3.10;3.13
6.2;3.13;3.14
6.3;3.15;3.15
6.4;3.17;3.16
6.5;3.18;3.17
6.6;3.18;3.17
6.7;3.18;3.18
6.8;3.18;3.20
6.9;3.18;3.21
7.0;3.19;3.22
7.1;3.20;3.24
7.2;3.20;3.25
7.3;3.20;3.27
7.4;3.19;3.29
7.5;3.18;3.31
7.6;3.16;3.32
7.7;3.15;3.34
7.8;3.15;3.35
7.9;3.17;3.36
8.0;3.21;3.36
8.1;3.29;3.37
8.2;3.40;3.38
8.3;3.53;3.38
8.4;3.66;3.39
8.5;3.77;3.40
8.6;3.86;3.40
8.7;3.96;3.41
8.8;4.04;3.42
8.9;4.07;3.43
9.0;4.16;3.44
9.2;3.00;
9.3;3.07;3.47
9.4;3.10;3.48
9.5;3.11;3.49
9.6;3.13;3.49
9.7;3.20;3.49
9.8;3.32;3.49
9.9;3.48;3.49
10.0;3.62;3.48
10.1;3.67;3.48
10.2;3.64;3.47
10.3;3.59;3.45
10.4;3.52;3.44
10.5;3.46;3.43
10.6;3.45;3.42
10.7;3.48;3.41
10.8;3.54;3.41
10.9;3.63;3.40
11.0;3.72;3.40
11.1;3.76;3.40
11.2;3.73;3.41
11.3;3.65;3.41
11.4;3.54;3.41
11.5;3.39;3.42
11.6;3.22;3.43
11.7;3.06;3.44
11.8;2.93;3.46
11.9;2.87;3.48
12.0;2.89;3.50
12.1;2.98;3.53
12.2;3.08;3.56
12.3;3.18;3.60
12.4;3.26;3.64
12.5;3.35;3.68
12.6;3.45;3.73
12.7;3.57;3.79
12.8;3.71;3.86
12.9;3.88;3.94
13.0;4.02;4.02
13.1;4.16;4.12
13.2;4.30;4.23
13.3;4.41;4.34
13.4;4.47;4.47
13.5;4.51;4.60
13.6;4.51;4.74
13.7;4.47;4.89
13.8;4.46;5.04
13.9;4.52;5.18
14.0;4.67;5.33
14.1;4.92;5.48
14.2;5.23;5.62
14.3;5.58;5.76
14.4;5.91;5.90
14.5;6.20;6.03
14.6;6.41;6.16
14.7;6.58;6.29
14.8;6.76;6.41
14.9;6.99;6.54
15.0;7.28;6.66
15.1;7.59;6.77
15.2;7.86;6.89
15.3;8.02;7.00
15.4;8.01;7.10
15.5;7.83;7.19
15.6;7.58;7.27
15.7;7.35;7.34
15.8;7.17;7.40
15.9;7.09;7.45
16.0;7.16;7.48
16.1;7.36;7.50
16.2;7.62;7.51
16.3;7.89;7.52
16.4;8.09;7.52
16.5;8.18;7.51
16.6;8.18;7.50
16.7;8.09;7.49
16.8;7.95;7.48
16.9;7.78;7.46
17.0;7.61;7.45
17.1;7.44;7.44
17.2;7.27;7.42
17.3;7.08;7.41
17.4;6.90;7.39
17.5;6.77;7.37
17.6;6.73;7.35
17.7;6.81;7.32
17.8;6.98;7.29
17.9;7.18;7.25
18.0;7.34;7.21
18.1;7.43;7.16
18.2;7.46;7.12
18.3;7.44;7.08
18.4;7.42;7.03
18.5;7.39;6.99
18.6;7.36;6.95
18.7;7.29;6.91
18.8;7.17;6.86
18.9;7.01;6.82
19.0;6.88;6.78
19.1;6.77;6.73
19.2;6.68;6.68
19.3;6.62;6.63
19.4;6.54;6.58
19.5;6.45;6.54
19.6;6.34;6.49
19.7;6.23;6.46
19.8;6.17;6.42
19.9;6.18;6.40
20.0;6.20;6.38
20.1;6.19;6.38
