,x
Acinonyx_jubatus,2307.70439
Acratocnus_odontrigonus,1858.575481
Adapis_magnus,1352.29192
Adinotherium_ovinum,3064.436552
Aelurocyon_sp,2636.719437
Aepyceros_melampus,2682.876573
Aetiocetus_cotylalveus,6345.31179
Agriochoerus_sp,1843.926111
Ailuropoda_melanoleuca,3298.897838
Ailurus_fulgens,1431.814601
Aletomeryx_scotti,2123.372404
Allodesmus_gracilis,3805.776266
Alouatta_palliata,1300.910329
Amblysomus_hottentotus,330.9370999
Anchitherium_agalensis,3844.682893
Anomalurus_beecrofti,727.9953506
Anoplotherium_commune,4017.524464
Antilocapra_americana,3092.752404
Aotus_trivirgatus,781.2361185
Apternodus_brevirostris,536.4626365
Archaeolemur_edwardsi,1775.827952
Arctictis_binturong,1698.002864
Arctodus_simum,4756.140303
Arsinoitherium_zitteli,8835.34426
Aselliscus_tricuspidatus,179.3325783
Astrapotherium_magnum,7137.486449
Ateles_belzebuth,1244.872588
Atherurus_africanus,1158.809537
Balaenoptera_musculus,60923.96824
Barbourofelis_morrisi,2626.289894
Bauerus_dubiaquercus,242.9455267
Bos_taurus,5123.718703
Brachyphylla_cavernarum,388.528963
Bradypus_tridactylus,1036.214281
Brontops_brachycephalus,7006.32405
Cacajao_calvus,1184.676462
Caenopus_copei,5116.592709
Cainotherium_laticurvatum,1014.938489
Callicebus_moloch,779.0806113
Callorhinus_ursinus,2370.193873
Callosciurus_caniceps,664.7894366
Camelus_dromedarius,5600.946222
Canis_lupus,2711.597584
Caperea_marginata,11437.90472
Capra_ibex,2470.841077
Capricornis_sumatraensis,3375.429146
Cardioderma_cor,319.2430233
Carterodon_sulcidens,463.8905052
Castor_canadensis,1299.071505
Castoroides_ohioensis,3166.272007
Cavia_aperea,798.9289264
Cebupithecia_sarmientai,877.9278015
Sapajus_apella,1056.115731
Centurio_senex,248.2923625
Cephalophus_nigrifrons,1858.981139
Cephalorhynchus_commersonii,3335.152499
Ceratogaulus_hatcheri,1030.486397
Cervus_elaphus,3451.018577
Cheirogaleus_medius,516.6868761
Chironax_melanocephalus,291.9210721
Choloepus_hoffmanni,1413.245037
Chrotopterus_auritus,424.3246979
Chrysospalax_trevelyani,493.716833
Cistugo_lesueuri,183.2799517
Coelodonta_antiquitatus,8693.924132
Colobus_guereza,1317.594856
Coronodon_havensteini,9765.490993
Coryphodon_hamatus,5660.57215
Cotylocara_macei,5951.248979
Craseonycteris_thonglongyai,129.4612754
Cricetomys_gambianus,834.3481846
Cricetus_cricetus,572.6353624
Fukomys_mechowi,714.1010163
Ctenomys_knighti,484.7228679
Cuniculus_paca,1775.175091
Cyclopes_didactylus,636.3940016
Cynocephalus_volans,898.8775686
Cynomys_ludovicianus,764.4834497
Dacrytherium_sp,2031.198866
Daphoenus_vetus,2514.035084
Dasyprocta_mexicana,1206.743919
