,x
Acinonyx_jubatus,2307.709921
Acratocnus_odontrigonus,1858.510679
Adapis_magnus,1352.280246
Adinotherium_ovinum,3064.372263
Aelurocyon_sp,2636.723695
Aepyceros_melampus,2682.93712
Aetiocetus_cotylalveus,6345.425304
Agriochoerus_sp,1843.87434
Ailuropoda_melanoleuca,3298.859393
Ailurus_fulgens,1431.806306
Aletomeryx_scotti,2123.350413
Allodesmus_gracilis,3805.816843
Alouatta_palliata,1300.901056
Amblysomus_hottentotus,330.9270834
Anchitherium_agalensis,3844.578573
Anomalurus_beecrofti,728.0219109
Anoplotherium_commune,4017.539816
Antilocapra_americana,3092.679542
Aotus_trivirgatus,781.2245449
Apternodus_brevirostris,536.014293
Archaeolemur_edwardsi,1775.79138
Arctictis_binturong,1698.008503
Arctodus_simum,4756.083437
Arsinoitherium_zitteli,8835.086494
Aselliscus_tricuspidatus,179.3260224
Astrapotherium_magnum,7140.707442
Ateles_belzebuth,1244.87976
Atherurus_africanus,1158.867216
Balaenoptera_musculus,60924.59936
Barbourofelis_morrisi,2626.327308
Bauerus_dubiaquercus,242.9950697
Bos_taurus,5123.559763
Brachyphylla_cavernarum,388.5116846
Bradypus_tridactylus,1036.198849
Brontops_brachycephalus,7006.0589
Cacajao_calvus,1184.68244
Caenopus_copei,5116.630496
Cainotherium_laticurvatum,1014.95746
Callicebus_moloch,779.0762138
Callorhinus_ursinus,2370.193012
Callosciurus_caniceps,664.8338477
Camelus_dromedarius,5600.738982
Canis_lupus,2711.6211
Caperea_marginata,11438.03758
Capra_ibex,2470.849652
Capricornis_sumatraensis,3375.427346
Cardioderma_cor,319.2424162
Carterodon_sulcidens,463.9198206
Castor_canadensis,1299.096098
Castoroides_ohioensis,3166.41612
Cavia_aperea,798.9978621
Cebupithecia_sarmientai,877.9281045
Sapajus_apella,1056.128463
Centurio_senex,248.2926187
Cephalophus_nigrifrons,1858.935711
Cephalorhynchus_commersonii,3335.214908
Ceratogaulus_hatcheri,1030.510548
Cervus_elaphus,3450.941093
Cheirogaleus_medius,516.67329
Chironax_melanocephalus,291.9146794
Choloepus_hoffmanni,1413.224515
Chrotopterus_auritus,424.3195249
Chrysospalax_trevelyani,493.71568
