,x
Acinonyx_jubatus,2307.70992119441
Aepyceros_melampus,2682.93711958576
Ailuropoda_melanoleuca,3298.8593932445
Ailurus_fulgens,1431.80630578644
Alouatta_palliata,1300.90105624756
Amblysomus_hottentotus,330.92708335938
Anomalurus_beecrofti,728.021910896154
Antilocapra_americana,3092.67954220142
Aotus_trivirgatus,781.22454487006
Arctictis_binturong,1698.0085031411
Aselliscus_tricuspidatus,179.326022375182
Ateles_belzebuth,1244.87975984145
Atherurus_africanus,1158.8672160686
Balaenoptera_musculus,60924.5993603404
Bauerus_dubiaquercus,242.995069743131
Bos_taurus,5123.55976338402
Brachyphylla_cavernarum,388.511684565569
Bradypus_tridactylus,1036.19884885827
Cacajao_calvus,1184.68243975504
Callicebus_moloch,779.076213799918
Callorhinus_ursinus,2370.19301158783
Callosciurus_caniceps,664.833847670514
Camelus_dromedarius,5600.73898168313
Canis_lupus,2711.62109985161
Caperea_marginata,11438.0375819834
Capra_ibex,2470.84965196143
Capricornis_sumatraensis,3375.42734581199
Cardioderma_cor,319.242416182055
Carterodon_sulcidens,463.919820644863
Castor_canadensis,1299.09609795038
Cavia_aperea,798.997862078214
Sapajus_apella,1056.12846276401
Centurio_senex,248.292618691292
Cephalophus_nigrifrons,1858.93571101992
Cephalorhynchus_commersonii,3335.2149080652
Cervus_elaphus,3450.94109255671
Cheirogaleus_medius,516.673290049612
Chironax_melanocephalus,291.914679366416
Choloepus_hoffmanni,1413.22451500283
Chrotopterus_auritus,424.319524875158
Chrysospalax_trevelyani,493.71567995449
Cistugo_lesueuri,183.276678176823
Colobus_guereza,1317.59825885338
Craseonycteris_thonglongyai,129.458883635005
Cricetomys_gambianus,834.388292244791
Cricetus_cricetus,572.682015939265
Fukomys_mechowi,714.125833961775
Ctenomys_knighti,484.753183871307
Cuniculus_paca,1775.236078106
Cyclopes_didactylus,637.829005370143
Cynocephalus_volans,898.845054836504
Cynomys_ludovicianus,764.528963082646
Dasyprocta_mexicana,1206.78880894395
Dasypus_novemcinctus,1174.15938583483
Daubentonia_madagascariensis,1131.06790203751
Delphinapterus_leucas,6280.72593125925
Delphinus_delphis,4451.65183083653
Deomys_ferrugineus,351.664809772374
Diaemus_youngi,317.866595904359
Diceros_bicornis,6754.68473677097
Dipodomys_ordii,414.565435373481
Dobsonia_moluccensis,781.166000871289
Dolichotis_patagonum,1531.60918650115
Dugong_dugon,3867.62963497691
Coendou_rufescens,866.91587148965
Echinosorex_gymnura,845.161544072731
Elephas_maximus,6858.0838856469
Equus_caballus,4754.44780096685
Erethizon_dorsatum,1248.90051477286
Erinaceus_europaeus,745.681613164608
Eschrichtius_robustus,24978.1705606221
Eubalaena_australis,28986.7065227232
Eulemur_macaco,1058.89200758103
Fossa_fossana,1203.20097332229
Furipterus_horrens,156.72374025095
Galidia_elegans,788.409547396546
Giraffa_camelopardalis,6824.13832829483
Glaucomys_sabrinus,465.044118515801
Gorilla_gorilla,3156.56572719479
Graphiurus_murinus,409.837342093098
Helarctos_malayanus,2732.24030760922
Hemigalus_derbyanus,1323.66664430896
Herpestes_javanicus,702.662345424694
Choeropsis_liberiensis,4183.57328688664
Hipposideros_armiger,372.706439525741
Hippotragus_equinus,4417.11694361373
Hyaena_hyaena,2680.99485398043
Hydropotes_inermis,1826.74381703385
Hylobates_lar,1306.2646840064
Hystrix_cristata,1787.11517774179
Indri_indri,1268.26920814787
Inia_geoffrensis,5448.42087347268
Kannabateomys_amblyonyx,718.02653435187
Kerivoula_minuta,146.958813483516
Kerodon_rupestris,839.028499341898
Kobus_ellipsiprymnus,4196.33631935232
Kogia_breviceps,6067.36648452754
Lagenorhynchus_albirostris,4366.66156262438
Lasionycteris_noctivagans,203.561179185076
Leontopithecus_rosalia,735.288936218975
Lepilemur_microdon,747.369529366228
Lepus_californicus,1005.70326675939
Lontra_felina,1320.118
Loris_tardigradus,661.92332168252
Macroscelides_proboscideus,385.771601188759
Manis_javanica,907.965104759646
Massoutiera_mzabi,520.803212014191
Megaptera_novaeangliae,28363.5460243741
Mephitis_mephitis,869.348536290862
Mesoplodon_europaeus,7959.6690177976
Micropteropus_pusillus,382.398068627367
Molossus_rufus,291.9172296234
Monachus_monachus,3282.02065155003
Mops_thersites,244.393182245663
Moschus_moschiferus,3462.19892433251
Muntiacus_muntjak,2208.34966708572
Myocastor_coypus,1235.31389853926
Myodes_gapperi,264.492847617182
Myospalax_psilurus,534.711039765433
Myotis_vivesi,275.297890534111
Mystacina_tuberculata,228.119579621777
Myzopoda_aurita,206.473285137149
Nandinia_binotata,1111.3738935059
Natalus_major,212.805025090641
Neofelis_nebulosa,1746.17326321327
Neoromicia_nana,147.489556778346
Neotoma_albigula,503.535934044461
Nesomys_rufus,496.768271944586
Noctilio_albiventris,264.302789844545
Nycteris_tragata,276.145991204563
Ochotona_pallasi,544.189844147813
Odobenus_rosmarus,3883.67074029529
Onychomys_leucogaster,322.532499767608
Orycteropus_afer,2867.49116068282
Oryctolagus_cuniculus,1143.29429743676
Otolemur_crassicaudatus,831.535887230414
Otomys_angoniensis,462.924139351863
Pan_troglodytes,2143.06506093754
Papio_hamadryas,2076.27996641764
Paradoxurus_hermaphroditus,1247.56372786493
Pedetes_capensis,1089.465254499
Petromus_typicus,491.464231641653
Petromyscus_shortridgei,280.135133865323
Phocoena_phocoena,3030.80460988823
Physeter_macrocephalus,36679.0529059784
Pipistrellus_hesperidus,174.9706
Platanista_gangetica,4025.93746180901
Pongo_pygmaeus,2150.30760834663
Pontoporia_blainvillei,4667.47973567765
Potamogale_velox,690.356271824201
Potos_flavus,1081.88654548086
Prionodon_pardicolor,804.575982277264
Procavia_capensis,984.757117787479
Proechimys_cuvieri,553.491630911955
Proteles_cristata,1454.706
Pseudorca_crassidens,7867.0029706871
Pteropus_niger,906.29116356344
Ptilocercus_lowii,451.183012524408
Puma_concolor,2302.9302031031
Ratufa_affinis,824.619765710743
Reithrodontomys_megalotis,236.098323189138
Rhinolophus_acuminatus,258.138612447623
Rhinonicteris_aurantia,205.646175855731
Rhinopoma_hardwickii,237.10909305065
Rhizomys_sinensis,865.101260658961
Rhynchocyon_petersi,841.007265832778
Saccolaimus_saccolaimus,348.435935483645
Saiga_tatarica,2602.69721985759
Saimiri_sciureus,740.084303706952
Scalopus_aquaticus,349.230060899071
Sigmodon_leucotis,385.815158771784
Solenodon_paradoxus,947.74730605757
Sorex_monticolus,186.60320594853
Spalax_leucodon,501.180364792361
Coendou_spinosus,910.642324071543
Steno_bredanensis,5653.05464885416
Sus_scrofa,3857.00704571892
Tachyoryctes_splendens,492.947719970801
Tadarida_brasiliensis,203.496772430037
Talpa_occidentalis,459.9382
Tamandua_tetradactyla,1609.55042500067
Tamias_striatus,478.904573524075
Tamiasciurus_douglasii,601.07062657805
Tapirus_terrestris,4231.57599499999
Tarsius_tarsier,469.345693589147
Taxidea_taxus,1450.49593087384
Tayassu_pecari,2950.6835591892
Tenrec_ecaudatus,1178.07742171359
Tetracerus_quadricornis,2176.84121036564
Thomomys_talpoides,423.105809749636
Thryonomys_swinderianus,1138.3342813954
Thyroptera_tricolor,174.657834036385
Tolypeutes_tricinctus,878.38768912812
Tomopeas_ravus,158.793219626948
Tragelaphus_scriptus,2508.60489586542
Tragulus_javanicus,1112.22647681962
Trichechus_senegalensis,3223.13305215216
Tupaia_glis,589.869180750719
Tursiops_truncatus,6179.8481407189
Tylomys_nudicaudus,619.411620346165
Tympanoctomys_barrerae,393.613870348845
Ictidomys_tridecemlineatus,512.450660113985
Vampyrum_spectrum,586.761703505399
Viverra_tangalunga,1447.72675252405
Vulpes_pallida,1277.80426998982
Zalophus_californianus,2705.98615616174
Zapus_hudsonius,250.726396595715
