AZ_order,Filename,Tip_Label,Final_name,Superorder,Order,Order_colour,Family,Collection,Specimen,Scan Location,Status,Geologic Age,Habitat,Locomotion,Diet,Social,Activity,Development
1,Acinonyx_jubatus,Acinonyx_jubatus,Acinonyx_jubatus,Laurasiatheria,Carnivora,#33CCFF,Felidae,AMNH,FM 145071,Morphosource,Extant,Recent,Open,Terrestrial,Carnivore,Solitary,Diurnal,Altricial
2,Acratocnus_odontrigonus,Acratocnus_odontrigonus,Acratocnus_odontrigonus,Xenarthra,Pilosa,#999999,Megalonychidae,AMNH,FM 17721,Morphosource,Extinct,Pleistocene,,Terrestrial,Herbivore,,,
3,Adapis_magnus,Adapis_magnus,Adapis_magnus,Euarchontaglires,Primates,#006D2C,Adapidae,MNHN.F,QU10875,Phenome10K,Extinct,Eocene,,Arboreal,Herbivore,,,
4,Adinotherium_ovinum,Adinotherium_ovinum,Adinotherium_ovinum,Laurasiatheria,Notoungulata,#FFCCFF,Toxodontidae,MLP,12-Feb,,Extinct,Miocene,,Terrestrial,Herbivore,,,
5,Aelurocyon_sp,Aelurocyon_sp,Aelurocyon_sp,Laurasiatheria,Carnivora,#33CCFF,Mustelidae,AMNH,F:AM 25430,Morphosource,Extinct,Oligocene,,Terrestrial,Carnivore,,,
6,Aepyceros_melampus,Aepyceros_melampus,Aepyceros_melampus,Laurasiatheria,Artiodactyla,#6699FF,Bovidae,NHMUK ZD,1966.448,Phenome10K,Extant,Recent,Open,Terrestrial,Herbivore,Social,Diurnal,Precocial
7,Aetiocetus_cotylalveus,Aetiocetus_cotylalveus,Aetiocetus_cotylalveus,Laurasiatheria,Cetacea,#0000CC,Aetiocetidae,USNM,25210,Phenome10K,Extinct,Oligocene,Aquatic,Aquatic,Carnivore,,,
8,Agriochoerus_sp,Agriochoerus_sp,Agriochoerus_sp,Laurasiatheria,Artiodactyla,#6699FF,Agriochoeridae,AMNH,F:AM 95330,Morphosource,Extinct,Oligocene,,Semi-arboreal,Herbivore,,,
9,Ailuropoda_melanoleuca,Ailuropoda_melanoleuca,Ailuropoda_melanoleuca,Laurasiatheria,Carnivora,#33CCFF,Ursidae,MNHN-ZO-AC,1874-273,Phenome10K,Extant,Recent,Closed,Terrestrial,Herbivore,Solitary,Nocturnal,Altricial
10,Ailurus_fulgens,Ailurus_fulgens,Ailurus_fulgens,Laurasiatheria,Carnivora,#33CCFF,Ailuridae,MNHN-ZO-AC,1960_85,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Solitary,Nocturnal,Altricial
11,Aletomeryx_scotti,Aletomeryx_scotti,Aletomeryx_scotti,Laurasiatheria,Artiodactyla,#6699FF,Palaeomerycidae,AMNH,F:AM 99947,Morphosource,Extinct,Miocene,,Terrestrial,Herbivore,,,
12,Allodesmus_gracilis,Allodesmus_gracilis,Allodesmus kernensis,Laurasiatheria,Carnivora,#33CCFF,Desmatophocidae,LACM,138167,Phenome10K,Extinct,Miocene,Aquatic,Aquatic,Carnivore,,,
13,Alouatta_palliata,Alouatta_palliata,Alouatta_palliata,Euarchontaglires,Primates,#006D2C,Atelidae,NHMUK ZD,1903.3.1.6,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Social,Diurnal,Altricial
14,Amblysomus_sp,Amblysomus_hottentotus,Amblysomus_sp,Afrotheria,Afrosoricida,#FEE8C8,Chrysochloridae,LDUCZ,z.660,Phenome10K,Extant,Recent,Mixed_terrestrial,Fossorial,Invertivore,Solitary,Nocturnal,Altricial
15,Anchitherium_agatensis,Anchitherium_agalensis,Anchitherium_agatensis,Laurasiatheria,Perissodactyla,#669999,Equidae,FMNH,P12147,Morphosource,Extinct,Miocene,,Terrestrial,Herbivore,,,
16,Anomalurus_jacksoni,Anomalurus_beecrofti,Anomalurus_beecrofti,Euarchontaglires,Rodentia,#A1D99B,Anomaluridae,NHMUK ZD,1930.11.11.261,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Solitary,Nocturnal,Precocial
17,Anoplotherium_commune,Anoplotherium_commune,Anoplotherium_commune,Laurasiatheria,Artiodactyla,#6699FF,Anoplotheriidae,MNHN.F,QU399,Phenome10K,Extinct,Eocene,,Terrestrial,Herbivore,,,
18,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Laurasiatheria,Artiodactyla,#6699FF,Antilocapridae,NHMUK ZD,1867.10.5.1/GERM 635d,Phenome10K,Extant,Recent,Open,Terrestrial,Herbivore,Social,Diurnal,Precocial
19,Aotus_trivirgatus,Aotus_trivirgatus,Aotus_trivirgatus,Euarchontaglires,Primates,#006D2C,Aotidae,MNHN-ZO-AC,1976-544,,Extant,Recent,Closed,Arboreal,Omnivore,Social,Nocturnal,Altricial
20,Apternodus_brevirostris,Apternodus_brevirostris,Apternodus_brevirostris,Stem,Zalambdalestidae,#993300,Apternodontidae,AMNH,FM 22466,Morphosource,Extinct,Eocene,,Terrestrial,Invertivore,,,
21,Archaeolemur_edwardsi,Archaeolemur_edwardsi,Archaeolemur_edwardsi,Euarchontaglires,Primates,#006D2C,Archaeolemuridae,MNHN.F,MAD8902,Phenome10K,Extinct,Holocene,,Terrestrial,Herbivore,,,
22,Arctictis_binturong,Arctictis_binturong,Arctictis_binturong,Laurasiatheria,Carnivora,#33CCFF,Viverridae,MNHN-ZO-AC,1936-1529,Phenome10K,Extant,Recent,Closed,Arboreal,Omnivore,Solitary,Nocturnal,Altricial
23,Arctodus_simum,Arctodus_simum,Arctodus_simum,Laurasiatheria,Carnivora,#33CCFF,Ursidae,AMNH,FM 8222,Morphosource,Extinct,Pleistocene,,Terrestrial,Carnivore,,,
24,Arsinoitherium_zitelli,Arsinoitherium_zitteli,Arsinoitherium_zitelli,Afrotheria,Embrithopoda,#D7301F,Arsinoitheriidae,NHMUK PV M,8463,Phenome10K,Extinct,Oligocene,,Terrestrial,Herbivore,,,
25,Aselliscus_tricuspidatus,Aselliscus_tricuspidatus,Aselliscus_tricuspidatus,Laurasiatheria,Chiroptera,#FF00FF,Hipposideridae,AMNH,M-151546,Morphosource,Extant,Recent,Closed,Volant,Invertivore,Social,Nocturnal,Altricial
26,Astrapotherium_magnum,Astrapotherium_magnum,Astrapotherium_magnum,Laurasiatheria,Astrapotheria,#FFCCFF,Astrapotheriidae,FMNH,P14251,Morphosource,Extinct,Miocene,,Terrestrial,Herbivore,,,
27,Ateles_belzebuth,Ateles_belzebuth,Ateles_belzebuth,Euarchontaglires,Primates,#006D2C,Atelidae,NHMUK ZD,1854.12.11.1,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Social,Diurnal,Altricial
28,Atherudus_africanus,Atherurus_africanus,Atherurus_africanus,Euarchontaglires,Rodentia,#A1D99B,Hystricidae,NHMUK ZD,1948.1291,Phenome10K,Extant,Recent,Closed,Terrestrial,Herbivore,Social,Nocturnal,Precocial
29,Balaenoptera_musculus,Balaenoptera_musculus,Balaenoptera_musculus,Laurasiatheria,Cetacea,#0000CC,Balaenopteridae,NHMUK ZD,1892.3.1.1,Phenome10K,Extant,Recent,Aquatic,Aquatic,Bulk invertivore,Solitary,All,Precocial
30,Barbourofelis_morrisi,Barbourofelis_morrisi,Barbourofelis_morrisi,Laurasiatheria,Carnivora,#33CCFF,Barbourofelidae,AMNH,F:AM 79999,Morphosource,Extinct,Miocene,,Terrestrial,Carnivore,,,
31,Bauerus_dubiaquercus,Bauerus_dubiaquercus,Bauerus_dubiaquercus,Laurasiatheria,Chiroptera,#FF00FF,Vespertilionidae,AMNH,M-278725,Morphosource,Extant,Recent,Closed,Volant,Invertivore,unknown,Nocturnal,Altricial
