row.id,lm,description,side,Region,Bone,NF,NFB,TissueOrigin
1,1,Nasal_anterior_midline,left,1,1,1,1,1
2,2,Nasal_anterior_left,left,1,1,1,1,1
3,3,Nasal_posterior_left,left,1,1,1,1,1
4,4,Nasal_posterior_midline,midline,1,1,1,1,1
5,5,Premaxilla_anterior_midline,midline,2,2,1,1,1
6,6,Premaxilla_anterior_dorsal,left,2,2,1,1,1
7,7,Premaxilla_posterior_dorsal,left,2,2,1,1,1
8,8,Premaxilla_posterior_lateral,left,2,2,1,1,1
9,9,Maxilla_anterior_lateral,left,3,3,1,1,1
10,10,Maxilla_anterior_dorsal,left,3,3,1,1,1
11,11,Maxilla_nasal_frontal_suture,left,3,3,1,1,1
12,12,Maxilla_dorsal_orbit,left,3,3,1,1,1
13,13,Maxilla_jugal_dorsal_orbit,left,3,3,1,1,1
14,14,Maxilla_jugal_ventral_suture,left,3,3,1,1,1
15,15,Maxilla_posterior_tooth_row,left,3,3,1,1,1
16,16,Jugal_maxilla_dorsal_orbit,left,4,4,1,1,1
17,17,Jugal_maxilla_ventral_suture,left,4,4,1,1,1
18,18,Jugal_squamosal_ventral_suture,left,4,4,1,1,1
19,19,Frontal_anterior_midline,midline,5,5,2,2,1
20,20,Frontal_posterior_midline,midline,5,5,2,2,1
21,21,Frontal_parietal_lateral_posterior_suture,left,5,5,2,2,1
22,22,Frontal_Postorbital_process,left,5,5,2,2,1
23,23,Frontal_lacrimal_maxilla_orbit_suture,left,5,5,2,2,1
24,24,Frontal_nasal_maxilla_suture,left,5,5,2,2,1
25,25,Parietal_anterior_midline,left,6,6,2,2,2
26,26,Parietal_posterior_midline,left,6,6,2,2,2
27,27,Parietal_lateral_posterior_squamosal_suture,left,6,6,2,2,2
28,28,Parietal_anterior_squamosal_suture,left,6,6,2,2,2
29,29,Parietal_anterior_lateral_frontal_suture,left,6,6,2,2,2
30,30,Squamosal_anterior_dorsal_parietal_suture,left,7,7,2,2,1
31,31,Squamosal_anterior_ventral_vault_zygomatic_divergence,left,7,7,2,2,1
32,32,Squamosal_jugal_dorsal_suture,left,8,15,2,2,1
33,33,Squamosal_jugal_ventral_suture,left,8,15,2,2,1
34,34,Glenoid_anterior_medial,left,9,15,2,2,1
