Order,Order_colour,Order_shape
Afrosoricida,#FFA07A,
Desmostylia,#7F0000,
Embrithopoda,#DC143C,
Hyracoidea,#FF4500,
Macroscelidea,#FA8072,
Proboscidea,#FF0000,-0x1F418
Sirenia,#B22222,
Tubulidentata,#CD5C5C,
Dermoptera,#6B8E23,
Lagomorpha,#3CB371,-0x1F407
Primates,#556B2F,
Rodentia,#90EE90,-0x1F42D
Scandentia,#2E8B57,
Acreodi,#0099CC,
Amblypoda,#33FFFF,
Artiodactyla,#6495ED,1F404
Carnivora,#00BFFF,
Cetacea,#0000FF,1F40E
Chiroptera,#00008B,-0x1fF987
Creodonta,#87CEFA,
Eulipotyphla,#C9C9FF,
Litopterna,#8A2BE2,
Notoungulata,#4B0082,
Perissodactyla,#7B68EE,1F40E
Pholidota,#87CEEB,
Cimolesta,#666666,
Leptictida,#999999,
Zalambdalestidae,#000000,
Cingulata,#FFD700,
Pilosa,#FFA500,
Astrapotheria,#820082,
MRCA,#000000,
